Series,Iteration,Average Time (ms)
Total Average Time,1,1199.0
Current Action Time,1,1199.0
Total Average Time,2,929.5
Current Action Time,2,660.0
Total Average Time,3,851.6666666666666
Current Action Time,3,696.0
Total Average Time,4,652.0
Current Action Time,4,53.0
Total Average Time,5,664.7
Current Action Time,5,715.5
Total Average Time,6,654.8333333333334
Current Action Time,6,605.5
Total Average Time,7,653.0714285714286
Current Action Time,7,642.5
Total Average Time,8,735.4375
Current Action Time,8,1312.0
Total Average Time,9,733.2222222222222
Current Action Time,9,715.5
Total Average Time,10,667.4
Current Action Time,10,75.0
Total Average Time,11,670.7727272727273
Current Action Time,11,704.5
Total Average Time,12,674.375
Current Action Time,12,714.0
Total Average Time,13,670.7307692307693
Current Action Time,13,627.0
Total Average Time,14,666.5714285714286
Current Action Time,14,612.5
Total Average Time,15,663.7333333333333
Current Action Time,15,624.0
Total Average Time,16,702.0
Current Action Time,16,1276.0
Total Average Time,17,701.6470588235294
Current Action Time,17,696.0
Total Average Time,18,667.6666666666666
Current Action Time,18,90.0
Total Average Time,19,666.2631578947369
Current Action Time,19,641.0
Total Average Time,20,665.175
Current Action Time,20,644.5
Total Average Time,21,663.5
Current Action Time,21,630.0
Total Average Time,22,685.9772727272727
Current Action Time,22,1158.0
Total Average Time,23,686.8695652173913
Current Action Time,23,706.5
Total Average Time,24,661.625
Current Action Time,24,81.0
Total Average Time,25,662.28
Current Action Time,25,678.0
Total Average Time,26,662.6923076923077
Current Action Time,26,673.0
Total Average Time,27,663.6666666666666
Current Action Time,27,689.0
Total Average Time,28,662.8035714285714
Current Action Time,28,639.5
Total Average Time,29,684.7758620689655
Current Action Time,29,1300.0
Total Average Time,30,663.9166666666666
Current Action Time,30,59.0
Total Average Time,31,664.3225806451613
Current Action Time,31,676.5
Total Average Time,32,684.15625
Current Action Time,32,1299.0
Total Average Time,33,685.030303030303
Current Action Time,33,713.0
Total Average Time,34,679.1764705882352
Current Action Time,34,486.0
Total Average Time,35,680.1
Current Action Time,35,711.5
Total Average Time,36,691.5694444444445
Current Action Time,36,1093.0
Total Average Time,37,704.1756756756756
Current Action Time,37,1158.0
Total Average Time,38,702.6052631578947
Current Action Time,38,644.5
Total Average Time,39,686.7179487179487
Current Action Time,39,83.0
Total Average Time,40,687.2125
Current Action Time,40,706.5
Total Average Time,41,685.9146341463414
Current Action Time,41,634.0
Total Average Time,42,684.4404761904761
Current Action Time,42,624.0
Total Average Time,43,696.2906976744187
Current Action Time,43,1194.0
Total Average Time,44,695.2954545454545
Current Action Time,44,652.5
Total Average Time,45,681.4444444444445
Current Action Time,45,72.0
Total Average Time,46,682.25
Current Action Time,46,718.5
Total Average Time,47,681.9468085106383
Current Action Time,47,668.0
Total Average Time,48,692.1770833333334
Current Action Time,48,1173.0
Total Average Time,49,692.4081632653061
Current Action Time,49,703.5
Total Average Time,50,680.36
Current Action Time,50,90.0
Total Average Time,51,678.4509803921569
Current Action Time,51,583.0
Total Average Time,52,677.875
Current Action Time,52,648.5
Total Average Time,53,677.5188679245283
Current Action Time,53,659.0
