Series,Iteration,Average Time (ms)
Total Average Time,1,611.5
Current Action Time,1,611.5
Total Average Time,2,620.0
Current Action Time,2,628.5
Total Average Time,3,617.1666666666666
Current Action Time,3,611.5
Total Average Time,4,615.625
Current Action Time,4,611.0
Total Average Time,5,745.1
Current Action Time,5,1263.0
Total Average Time,6,626.4166666666666
Current Action Time,6,33.0
Total Average Time,7,622.5
Current Action Time,7,599.0
Total Average Time,8,626.3125
Current Action Time,8,653.0
Total Average Time,9,628.2777777777778
Current Action Time,9,644.0
Total Average Time,10,624.95
Current Action Time,10,595.0
Total Average Time,11,676.7727272727273
Current Action Time,11,1195.0
Total Average Time,12,674.9583333333334
Current Action Time,12,655.0
Total Average Time,13,671.8461538461538
Current Action Time,13,634.5
Total Average Time,14,630.1428571428571
Current Action Time,14,88.0
Total Average Time,15,634.4666666666667
Current Action Time,15,695.0
Total Average Time,16,638.375
Current Action Time,16,697.0
Total Average Time,17,644.0
Current Action Time,17,734.0
Total Average Time,18,684.5555555555555
Current Action Time,18,1374.0
Total Average Time,19,685.1842105263158
Current Action Time,19,696.5
Total Average Time,20,683.125
Current Action Time,20,644.0
Total Average Time,21,654.8809523809524
Current Action Time,21,90.0
Total Average Time,22,655.3636363636364
Current Action Time,22,665.5
Total Average Time,23,656.6086956521739
Current Action Time,23,684.0
Total Average Time,24,658.0625
Current Action Time,24,691.5
Total Average Time,25,654.12
Current Action Time,25,559.5
Total Average Time,26,674.8076923076923
Current Action Time,26,1192.0
Total Average Time,27,673.7962962962963
Current Action Time,27,647.5
Total Average Time,28,672.7321428571429
Current Action Time,28,644.0
Total Average Time,29,652.1551724137931
Current Action Time,29,76.0
Total Average Time,30,652.0166666666667
Current Action Time,30,648.0
Total Average Time,31,651.8064516129032
Current Action Time,31,645.5
Total Average Time,32,672.875
Current Action Time,32,1326.0
Total Average Time,33,655.3030303030303
Current Action Time,33,93.0
Total Average Time,34,658.3823529411765
Current Action Time,34,760.0
Total Average Time,35,656.9571428571429
Current Action Time,35,608.5
Total Average Time,36,655.4583333333334
Current Action Time,36,603.0
Total Average Time,37,670.1756756756756
Current Action Time,37,1200.0
Total Average Time,38,669.1184210526316
Current Action Time,38,630.0
Total Average Time,39,654.1666666666666
Current Action Time,39,86.0
Total Average Time,40,654.6125
Current Action Time,40,672.0
Total Average Time,41,653.8170731707318
Current Action Time,41,622.0
Total Average Time,42,652.7380952380952
Current Action Time,42,608.5
Total Average Time,43,654.3139534883721
Current Action Time,43,720.5
Total Average Time,44,669.0113636363636
Current Action Time,44,1301.0
Total Average Time,45,655.5444444444445
Current Action Time,45,63.0
Total Average Time,46,655.8804347826087
Current Action Time,46,671.0
Total Average Time,47,656.6063829787234
Current Action Time,47,690.0
Total Average Time,48,655.65625
Current Action Time,48,611.0
Total Average Time,49,665.1326530612245
Current Action Time,49,1120.0
Total Average Time,50,664.9
Current Action Time,50,653.5
Total Average Time,51,653.4705882352941
Current Action Time,51,82.0
Total Average Time,52,653.8557692307693
Current Action Time,52,673.5
Total Average Time,53,654.0754716981132
Current Action Time,53,665.5
Total Average Time,54,653.5925925925926
Current Action Time,54,628.0
Total Average Time,55,652.7363636363636
Current Action Time,55,606.5
Total Average Time,56,653.1785714285714
Current Action Time,56,677.5
Total Average Time,57,652.7017543859649
Current Action Time,57,626.0
Total Average Time,58,662.1206896551724
Current Action Time,58,1199.0
Total Average Time,59,661.8135593220339
Current Action Time,59,644.0
Total Average Time,60,652.0166666666667
Current Action Time,60,74.0
Total Average Time,61,651.5409836065573
Current Action Time,61,623.0
Total Average Time,62,651.8467741935484
Current Action Time,62,670.5
Total Average Time,63,651.5873015873016
Current Action Time,63,635.5
Total Average Time,64,651.4453125
Current Action Time,64,642.5
Total Average Time,65,661.4538461538461
Current Action Time,65,1302.0
Total Average Time,66,652.810606060606
Current Action Time,66,91.0
Total Average Time,67,651.8731343283582
Current Action Time,67,590.0
Total Average Time,68,652.5588235294117
Current Action Time,68,698.5
Total Average Time,69,651.731884057971
Current Action Time,69,595.5
Total Average Time,70,660.6214285714286
Current Action Time,70,1274.0
Total Average Time,71,661.112676056338
Current Action Time,71,695.5
Total Average Time,72,654.3611111111111
Current Action Time,72,175.0
Total Average Time,73,654.6506849315068
Current Action Time,73,675.5
Total Average Time,74,654.4121621621622
Current Action Time,74,637.0
Total Average Time,75,663.0066666666667
Current Action Time,75,1299.0
Total Average Time,76,662.9934210526316
Current Action Time,76,662.0
Total Average Time,77,662.5
Current Action Time,77,625.0
Total Average Time,78,655.1602564102565
Current Action Time,78,90.0
Total Average Time,79,655.506329113924
Current Action Time,79,682.5
Total Average Time,80,655.38125
Current Action Time,80,645.5
Total Average Time,81,655.5
Current Action Time,81,665.0
Total Average Time,82,654.7012195121952
Current Action Time,82,590.0
Total Average Time,83,663.1867469879518
Current Action Time,83,1359.0
Total Average Time,84,655.8869047619048
Current Action Time,84,50.0
Total Average Time,85,655.1117647058824
Current Action Time,85,590.0
Total Average Time,86,655.1860465116279
Current Action Time,86,661.5
Total Average Time,87,655.8505747126437
Current Action Time,87,713.0
Total Average Time,88,655.2613636363636
Current Action Time,88,604.0
Total Average Time,89,660.4157303370787
Current Action Time,89,1114.0
Total Average Time,90,660.9
Current Action Time,90,704.0
Total Average Time,91,654.6373626373627
Current Action Time,91,91.0
Total Average Time,92,658.9728260869565
Current Action Time,92,1053.5
Total Average Time,93,659.3602150537635
Current Action Time,93,695.0
Total Average Time,94,665.0904255319149
Current Action Time,94,1198.0
Total Average Time,95,659.0368421052632
Current Action Time,95,90.0
Total Average Time,96,659.1875
Current Action Time,96,673.5
Total Average Time,97,664.7216494845361
Current Action Time,97,1196.0
Total Average Time,98,665.8877551020408
Current Action Time,98,779.0
Total Average Time,99,662.5757575757576
Current Action Time,99,338.0
Total Average Time,100,676.16
Current Action Time,100,2021.0
