Series,Iteration,Average Time (ms)
Total Average Time,1,212.5
Current Action Time,1,212.5
Total Average Time,2,210.75
Current Action Time,2,209.0
Total Average Time,3,195.5
Current Action Time,3,165.0
Total Average Time,4,194.5
Current Action Time,4,191.5
Total Average Time,5,175.1
Current Action Time,5,97.5
Total Average Time,6,199.25
Current Action Time,6,320.0
Total Average Time,7,194.78571428571428
Current Action Time,7,168.0
Total Average Time,8,202.5625
Current Action Time,8,257.0
Total Average Time,9,192.88888888888889
Current Action Time,9,115.5
Total Average Time,10,185.7
Current Action Time,10,121.0
Total Average Time,11,188.9090909090909
Current Action Time,11,221.0
Total Average Time,12,186.41666666666666
Current Action Time,12,159.0
Total Average Time,13,175.3846153846154
Current Action Time,13,43.0
Total Average Time,14,170.78571428571428
Current Action Time,14,111.0
Total Average Time,15,235.13333333333333
Current Action Time,15,1136.0
Total Average Time,16,229.46875
Current Action Time,16,144.5
Total Average Time,17,223.2058823529412
Current Action Time,17,123.0
Total Average Time,18,221.11111111111111
Current Action Time,18,185.5
Total Average Time,19,215.78947368421052
Current Action Time,19,120.0
Total Average Time,20,210.85
Current Action Time,20,117.0
Total Average Time,21,207.57142857142858
Current Action Time,21,142.0
Total Average Time,22,212.5
Current Action Time,22,316.0
Total Average Time,23,211.7391304347826
Current Action Time,23,195.0
Total Average Time,24,208.125
Current Action Time,24,125.0
Total Average Time,25,206.92
Current Action Time,25,178.0
Total Average Time,26,219.03846153846155
Current Action Time,26,522.0
Total Average Time,27,218.66666666666666
Current Action Time,27,209.0
Total Average Time,28,216.96428571428572
Current Action Time,28,171.0
Total Average Time,29,213.79310344827587
Current Action Time,29,125.0
Total Average Time,30,211.76666666666668
Current Action Time,30,153.0
Total Average Time,31,242.0
Current Action Time,31,1149.0
Total Average Time,32,241.53125
Current Action Time,32,227.0
Total Average Time,33,237.3939393939394
Current Action Time,33,105.0
Total Average Time,34,236.2058823529412
Current Action Time,34,197.0
Total Average Time,35,232.37142857142857
Current Action Time,35,102.0
Total Average Time,36,231.23611111111111
Current Action Time,36,191.5
Total Average Time,37,228.7972972972973
Current Action Time,37,141.0
Total Average Time,38,227.6578947368421
Current Action Time,38,185.5
Total Average Time,39,229.92307692307693
Current Action Time,39,316.0
Total Average Time,40,229.425
Current Action Time,40,210.0
Total Average Time,41,226.8048780487805
Current Action Time,41,122.0
Total Average Time,42,225.03571428571428
Current Action Time,42,152.5
Total Average Time,43,225.0581395348837
Current Action Time,43,226.0
Total Average Time,44,222.23863636363637
Current Action Time,44,101.0
Total Average Time,45,220.4
Current Action Time,45,139.5
Total Average Time,46,219.25
Current Action Time,46,167.5
Total Average Time,47,218.0
Current Action Time,47,160.5
Total Average Time,48,217.83333333333334
Current Action Time,48,210.0
Total Average Time,49,215.75510204081633
Current Action Time,49,116.0
Total Average Time,50,213.26
Current Action Time,50,91.0
Total Average Time,51,213.3235294117647
Current Action Time,51,216.5
Total Average Time,52,212.91346153846155
Current Action Time,52,192.0
Total Average Time,53,211.21698113207546
Current Action Time,53,123.0
Total Average Time,54,210.15740740740742
Current Action Time,54,154.0
Total Average Time,55,212.0818181818182
Current Action Time,55,316.0
Total Average Time,56,211.5625
Current Action Time,56,183.0
Total Average Time,57,211.8859649122807
Current Action Time,57,230.0
Total Average Time,58,210.23275862068965
Current Action Time,58,116.0
Total Average Time,59,212.04237288135593
Current Action Time,59,317.0
Total Average Time,60,212.05833333333334
Current Action Time,60,213.0
Total Average Time,61,209.20491803278688
Current Action Time,61,38.0
Total Average Time,62,221.1048387096774
Current Action Time,62,947.0
Total Average Time,63,220.37301587301587
Current Action Time,63,175.0
Total Average Time,64,218.9140625
Current Action Time,64,127.0
Total Average Time,65,217.1846153846154
Current Action Time,65,106.5
Total Average Time,66,215.90151515151516
Current Action Time,66,132.5
Total Average Time,67,216.30597014925374
Current Action Time,67,243.0
Total Average Time,68,215.625
Current Action Time,68,170.0
Total Average Time,69,215.54347826086956
Current Action Time,69,210.0
Total Average Time,70,214.75714285714287
Current Action Time,70,160.5
Total Average Time,71,213.5211267605634
Current Action Time,71,127.0
Total Average Time,72,212.30555555555554
Current Action Time,72,126.0
Total Average Time,73,211.41780821917808
Current Action Time,73,147.5
Total Average Time,74,212.79054054054055
Current Action Time,74,313.0
Total Average Time,75,211.68666666666667
Current Action Time,75,130.0
Total Average Time,76,210.60526315789474
Current Action Time,76,129.5
Total Average Time,77,209.01298701298703
Current Action Time,77,88.0
Total Average Time,78,222.17948717948718
Current Action Time,78,1236.0
Total Average Time,79,222.0253164556962
Current Action Time,79,210.0
Total Average Time,80,221.6
Current Action Time,80,188.0
Total Average Time,81,220.34567901234567
Current Action Time,81,120.0
Total Average Time,82,219.0
Current Action Time,82,110.0
Total Average Time,83,217.66265060240963
Current Action Time,83,108.0
Total Average Time,84,217.64285714285714
Current Action Time,84,216.0
Total Average Time,85,216.44117647058823
Current Action Time,85,115.5
