Series,Iteration,Average Time (ms)
Total Average Time,1,34.0
Current Action Time,1,34.0
Total Average Time,2,22.5
Current Action Time,2,11.0
Total Average Time,3,36.5
Current Action Time,3,64.5
Total Average Time,4,41.75
Current Action Time,4,57.5
Total Average Time,5,45.5
Current Action Time,5,60.5
Total Average Time,6,74.58333333333333
Current Action Time,6,220.0
Total Average Time,7,80.21428571428571
Current Action Time,7,114.0
Total Average Time,8,76.8125
Current Action Time,8,53.0
Total Average Time,9,74.44444444444444
Current Action Time,9,55.5
Total Average Time,10,73.8
Current Action Time,10,68.0
Total Average Time,11,86.72727272727273
Current Action Time,11,216.0
Total Average Time,12,80.5
Current Action Time,12,12.0
Total Average Time,13,79.38461538461539
Current Action Time,13,66.0
Total Average Time,14,77.0
Current Action Time,14,46.0
Total Average Time,15,75.86666666666666
Current Action Time,15,60.0
Total Average Time,16,78.5625
Current Action Time,16,119.0
Total Average Time,17,81.11764705882354
Current Action Time,17,122.0
Total Average Time,18,80.13888888888889
Current Action Time,18,63.5
Total Average Time,19,77.07894736842105
Current Action Time,19,22.0
Total Average Time,20,75.55
Current Action Time,20,46.5
Total Average Time,21,74.66666666666667
Current Action Time,21,57.0
Total Average Time,22,76.5909090909091
Current Action Time,22,117.0
Total Average Time,23,82.82608695652173
Current Action Time,23,220.0
Total Average Time,24,80.08333333333333
Current Action Time,24,17.0
Total Average Time,25,126.32
Current Action Time,25,1236.0
Total Average Time,26,122.34615384615384
Current Action Time,26,23.0
Total Average Time,27,120.12962962962963
Current Action Time,27,62.5
Total Average Time,28,117.83928571428571
Current Action Time,28,56.0
Total Average Time,29,117.63793103448276
Current Action Time,29,112.0
Total Average Time,30,115.86666666666666
Current Action Time,30,64.5
Total Average Time,31,112.90322580645162
Current Action Time,31,24.0
Total Average Time,32,124.296875
Current Action Time,32,477.5
Total Average Time,33,122.21212121212122
Current Action Time,33,55.5
Total Average Time,34,124.97058823529412
Current Action Time,34,216.0
Total Average Time,35,123.12857142857143
Current Action Time,35,60.5
Total Average Time,36,120.375
Current Action Time,36,24.0
Total Average Time,37,118.91891891891892
Current Action Time,37,66.5
Total Average Time,38,117.23684210526316
Current Action Time,38,55.0
Total Average Time,39,115.08974358974359
Current Action Time,39,33.5
Total Average Time,40,113.3375
Current Action Time,40,45.0
Total Average Time,41,111.91463414634147
Current Action Time,41,55.0
Total Average Time,42,110.69047619047619
Current Action Time,42,60.5
Total Average Time,43,110.74418604651163
Current Action Time,43,113.0
Total Average Time,44,109.82954545454545
Current Action Time,44,70.5
Total Average Time,45,112.15555555555555
Current Action Time,45,214.5
Total Average Time,46,110.17391304347827
Current Action Time,46,21.0
Total Average Time,47,109.61702127659575
Current Action Time,47,84.0
Total Average Time,48,109.89583333333333
Current Action Time,48,123.0
Total Average Time,49,109.09183673469387
Current Action Time,49,70.5
Total Average Time,50,108.05
Current Action Time,50,57.0
Total Average Time,51,106.62745098039215
Current Action Time,51,35.5
Total Average Time,52,105.625
Current Action Time,52,54.5
Total Average Time,53,104.58490566037736
Current Action Time,53,50.5
Total Average Time,54,103.73148148148148
Current Action Time,54,58.5
Total Average Time,55,102.82727272727273
Current Action Time,55,54.0
Total Average Time,56,103.08035714285714
Current Action Time,56,117.0
Total Average Time,57,103.36842105263158
Current Action Time,57,119.5
Total Average Time,58,102.74137931034483
Current Action Time,58,67.0
Total Average Time,59,102.11864406779661
Current Action Time,59,66.0
Total Average Time,60,100.63333333333334
Current Action Time,60,13.0
Total Average Time,61,100.14754098360656
Current Action Time,61,71.0
Total Average Time,62,99.31451612903226
Current Action Time,62,48.5
Total Average Time,63,98.8015873015873
Current Action Time,63,67.0
Total Average Time,64,99.0859375
Current Action Time,64,117.0
Total Average Time,65,99.44615384615385
Current Action Time,65,122.5
Total Average Time,66,98.12121212121212
Current Action Time,66,12.0
Total Average Time,67,97.59701492537313
Current Action Time,67,63.0
Total Average Time,68,96.97058823529412
Current Action Time,68,55.0
Total Average Time,69,96.97101449275362
