Series,Iteration,Average Time (ms)
Total Average Time,1,297.0
Current Action Time,1,297.0
Total Average Time,2,325.0
Current Action Time,2,353.0
Total Average Time,3,263.8
Current Action Time,3,141.4
Total Average Time,4,431.1
Current Action Time,4,933.0
Total Average Time,5,437.48
Current Action Time,5,463.0
Total Average Time,6,410.73333333333335
Current Action Time,6,277.0
Total Average Time,7,463.12857142857143
Current Action Time,7,777.5
Total Average Time,8,449.45625
Current Action Time,8,353.75
Total Average Time,9,441.82222222222225
Current Action Time,9,380.75
Total Average Time,10,497.47333333333336
Current Action Time,10,998.3333333333334
Total Average Time,11,499.9757575757576
Current Action Time,11,525.0
Total Average Time,12,575.9777777777778
Current Action Time,12,1412.0
Total Average Time,13,611.5564102564102
Current Action Time,13,1038.5
Total Average Time,14,632.3738095238095
Current Action Time,14,903.0
Total Average Time,15,625.0377777777778
Current Action Time,15,522.3333333333334
Total Average Time,16,623.3635416666667
Current Action Time,16,598.25
Total Average Time,17,638.4892156862745
Current Action Time,17,880.5
Total Average Time,18,683.3509259259259
Current Action Time,18,1446.0
Total Average Time,19,675.0035087719299
Current Action Time,19,524.75
Total Average Time,20,671.4866666666667
Current Action Time,20,604.6666666666666
Total Average Time,21,680.7015873015873
Current Action Time,21,865.0
Total Average Time,22,675.0636363636363
Current Action Time,22,556.6666666666666
Total Average Time,23,678.9014492753623
Current Action Time,23,763.3333333333334
Total Average Time,24,683.5722222222222
Current Action Time,24,791.0
Total Average Time,25,695.7093333333333
Current Action Time,25,987.0
Total Average Time,26,701.2589743589743
Current Action Time,26,840.0
Total Average Time,27,704.0734567901235
Current Action Time,27,777.25
Total Average Time,28,704.7613095238095
Current Action Time,28,723.3333333333334
Total Average Time,29,699.8040229885057
Current Action Time,29,561.0
Total Average Time,30,704.2661111111112
Current Action Time,30,833.6666666666666
Total Average Time,31,715.0639784946237
Current Action Time,31,1039.0
Total Average Time,32,709.9916666666667
Current Action Time,32,552.75
Total Average Time,33,715.249494949495
Current Action Time,33,883.5
Total Average Time,34,719.5264705882354
Current Action Time,34,860.6666666666666
Total Average Time,35,721.6066666666667
Current Action Time,35,792.3333333333334
Total Average Time,36,728.8537037037037
Current Action Time,36,982.5
Total Average Time,37,724.3261261261262
Current Action Time,37,561.3333333333334
Total Average Time,38,727.2561403508772
Current Action Time,38,835.6666666666666
Total Average Time,39,722.0786324786325
Current Action Time,39,525.3333333333334
Total Average Time,40,719.7079166666666
Current Action Time,40,627.25
Total Average Time,41,727.5930894308943
Current Action Time,41,1043.0
Total Average Time,42,731.7773809523809
Current Action Time,42,903.3333333333334
Total Average Time,43,728.4802325581395
Current Action Time,43,590.0
Total Average Time,44,730.9011363636363
Current Action Time,44,835.0
Total Average Time,45,736.6477777777776
Current Action Time,45,989.5
Total Average Time,46,740.5539855072464
Current Action Time,46,916.3333333333334
Total Average Time,47,737.0953900709219
Current Action Time,47,578.0
Total Average Time,48,747.6628472222222
Current Action Time,48,1244.3333333333333
Total Average Time,49,748.506462585034
Current Action Time,49,789.0
Total Average Time,50,767.7763333333334
Current Action Time,50,1712.0
Total Average Time,51,767.8591503267974
Current Action Time,51,772.0
Total Average Time,52,766.0349358974358
Current Action Time,52,673.0
Total Average Time,53,772.6003144654088
Current Action Time,53,1114.0
Total Average Time,54,779.8947530864198
Current Action Time,54,1166.5
Total Average Time,55,787.5148484848485
Current Action Time,55,1199.0
Total Average Time,56,792.0651785714286
Current Action Time,56,1042.3333333333333
Total Average Time,57,791.2511695906433
Current Action Time,57,745.6666666666666
Total Average Time,58,798.2295977011494
Current Action Time,58,1196.0
Total Average Time,59,796.5929378531073
Current Action Time,59,701.6666666666666
Total Average Time,60,794.2552777777778
Current Action Time,60,656.3333333333334
Total Average Time,61,793.8959016393443
Current Action Time,61,772.3333333333334
Total Average Time,62,794.6018817204301
Current Action Time,62,837.6666666666666
Total Average Time,63,802.7828042328042
Current Action Time,63,1310.0
Total Average Time,64,808.2471354166667
Current Action Time,64,1152.5
Total Average Time,65,815.9048717948717
Current Action Time,65,1306.0
Total Average Time,66,827.9744949494949
Current Action Time,66,1612.5
Total Average Time,67,834.31815920398
Current Action Time,67,1253.0
Total Average Time,68,846.5708333333333
Current Action Time,68,1667.5
Total Average Time,69,859.2727053140096
Current Action Time,69,1723.0
Total Average Time,70,862.5545238095237
Current Action Time,70,1089.0
Total Average Time,71,868.1453051643192
Current Action Time,71,1259.5
Total Average Time,72,874.3446759259259
Current Action Time,72,1314.5
Total Average Time,73,879.6687214611871
Current Action Time,73,1263.0
Total Average Time,74,883.3894144144144
Current Action Time,74,1155.0
Total Average Time,75,886.2775555555555
Current Action Time,75,1100.0
Total Average Time,76,892.5962719298245
Current Action Time,76,1366.5
Total Average Time,77,895.9976190476191
Current Action Time,77,1154.5
Total Average Time,78,899.3245726495726
Current Action Time,78,1155.5
Total Average Time,79,904.0040084388186
Current Action Time,79,1269.0
Total Average Time,80,910.608125
Current Action Time,80,1432.3333333333333
Total Average Time,81,915.0574074074074
Current Action Time,81,1271.0
Total Average Time,82,917.9713414634145
Current Action Time,82,1154.0
Total Average Time,83,920.1945783132529
Current Action Time,83,1102.5
Total Average Time,84,923.0672619047618
Current Action Time,84,1161.5
