Series,Iteration,Average Time (ms)
Total Average Time,1,7.153846153846154
Current Action Time,1,7.153846153846154
Total Average Time,2,7.612637362637363
Current Action Time,2,8.071428571428571
Total Average Time,3,8.04945054945055
Current Action Time,3,8.923076923076923
Total Average Time,4,8.306318681318682
Current Action Time,4,9.076923076923077
Total Average Time,5,8.35934065934066
Current Action Time,5,8.571428571428571
Total Average Time,6,8.3507326007326
Current Action Time,6,8.307692307692308
Total Average Time,7,8.278649921507064
Current Action Time,7,7.846153846153846
Total Average Time,8,84.76465201465201
Current Action Time,8,620.1666666666666
Total Average Time,9,204.34635734635737
Current Action Time,9,1161.0
Total Average Time,10,299.86172161172163
Current Action Time,10,1159.5
Total Average Time,11,377.1015651015651
Current Action Time,11,1149.5
Total Average Time,12,443.92643467643467
Current Action Time,12,1179.0
Total Average Time,13,500.5859397013243
Current Action Time,13,1180.5
Total Average Time,14,547.8833725798012
Current Action Time,14,1162.75
Total Average Time,15,587.6411477411477
Current Action Time,15,1144.25
Total Average Time,16,616.9885760073261
Current Action Time,16,1057.2
Total Average Time,17,622.9774833010127
Current Action Time,17,718.8
Total Average Time,18,629.056512006512
Current Action Time,18,732.4
Total Average Time,19,633.4219587430114
Current Action Time,19,712.0
Total Average Time,20,637.1408608058607
Current Action Time,20,707.8
Total Average Time,21,641.3151055293912
Current Action Time,21,724.8
Total Average Time,22,644.8992673992673
Current Action Time,22,720.1666666666666
Total Average Time,23,648.0253862079948
Current Action Time,23,716.8
Total Average Time,24,647.5104395604394
Current Action Time,24,635.6666666666666
Total Average Time,25,640.3033553113552
Current Action Time,25,467.3333333333333
Total Average Time,26,633.592969850662
Current Action Time,26,465.8333333333333
Total Average Time,27,627.1759462759461
Current Action Time,27,460.3333333333333
Total Average Time,28,621.2461930926216
Current Action Time,28,461.14285714285717
Total Average Time,29,616.6342553997725
Current Action Time,29,487.5
Total Average Time,30,613.9686691086691
Current Action Time,30,536.6666666666666
Total Average Time,31,612.3729055890346
Current Action Time,31,564.5
Total Average Time,32,611.0383356227106
Current Action Time,32,569.6666666666666
Total Average Time,33,609.7088911088912
Current Action Time,33,567.1666666666666
Total Average Time,34,608.3400021547081
Current Action Time,34,563.1666666666666
Total Average Time,35,606.9779068550498
Current Action Time,35,560.6666666666666
Total Average Time,36,607.1312983312985
Current Action Time,36,612.5
Total Average Time,37,611.862884862885
Current Action Time,37,782.2
Total Average Time,38,616.25684403316
Current Action Time,38,778.8333333333334
Total Average Time,39,620.1989762374378
Current Action Time,39,770.0
Total Average Time,40,624.2340018315019
Current Action Time,40,781.6
Total Average Time,41,627.9209773965872
Current Action Time,41,775.4
Total Average Time,42,632.3990493633352
Current Action Time,42,816.0
Total Average Time,43,641.5932575176762
Current Action Time,43,1027.75
Total Average Time,44,650.9320471195472
Current Action Time,44,1052.5
Total Average Time,45,659.2002238502239
Current Action Time,45,1023.0
Total Average Time,46,666.9730450708712
Current Action Time,46,1016.75
Total Average Time,47,720.8140441119165
Current Action Time,47,3197.5
Total Average Time,48,772.2450015262516
Current Action Time,48,3189.5
Total Average Time,49,821.5563280257159
Current Action Time,49,3188.5
Total Average Time,50,869.8752014652015
Current Action Time,50,3237.5
Total Average Time,51,916.710981828629
Current Action Time,51,3258.5
Total Average Time,52,960.7069244857707
Current Action Time,52,3204.5
Total Average Time,53,1004.825661759624
Current Action Time,53,3299.0
Total Average Time,54,1009.3150013566681
Current Action Time,54,1247.25
Total Average Time,55,1002.1547286047287
Current Action Time,55,615.5
Total Average Time,56,995.2376798796442
Current Action Time,56,614.8
Total Average Time,57,988.5387732150891
Current Action Time,57,613.4
Total Average Time,58,982.0064955159784
Current Action Time,58,609.6666666666666
Total Average Time,59,975.7973458744646
Current Action Time,59,615.6666666666666
Total Average Time,60,969.7773901098901
Current Action Time,60,614.6
