Series,Iteration,Average Time (ms)
Total Average Time,1,162.6
Current Action Time,1,162.6
Total Average Time,2,311.1333333333333
Current Action Time,2,459.6666666666667
Total Average Time,3,263.15555555555557
Current Action Time,3,167.2
Total Average Time,4,284.78333333333336
Current Action Time,4,349.6666666666667
Total Average Time,5,289.3066666666667
Current Action Time,5,307.4
Total Average Time,6,258.75555555555553
Current Action Time,6,106.0
Total Average Time,7,317.07619047619045
Current Action Time,7,667.0
Total Average Time,8,308.09791666666666
Current Action Time,8,245.25
Total Average Time,9,316.14259259259256
Current Action Time,9,380.5
Total Average Time,10,319.47833333333335
Current Action Time,10,349.5
Total Average Time,11,301.68939393939394
Current Action Time,11,123.8
Total Average Time,12,287.33194444444445
Current Action Time,12,129.4
Total Average Time,13,374.1525641025641
Current Action Time,13,1416.0
Total Average Time,14,424.21309523809526
Current Action Time,14,1075.0
Total Average Time,15,490.13222222222225
Current Action Time,15,1413.0
Total Average Time,16,525.1864583333333
Current Action Time,16,1051.0
Total Average Time,17,556.3813725490196
Current Action Time,17,1055.5
Total Average Time,18,578.0824074074075
Current Action Time,18,947.0
Total Average Time,19,605.8412280701755
Current Action Time,19,1105.5
Total Average Time,20,639.5825
Current Action Time,20,1280.6666666666667
Total Average Time,21,708.2690476190476
Current Action Time,21,2082.0
Total Average Time,22,718.4992424242424
Current Action Time,22,933.3333333333334
Total Average Time,23,750.7166666666667
Current Action Time,23,1459.5
Total Average Time,24,762.9576388888889
Current Action Time,24,1044.5
Total Average Time,25,772.586
Current Action Time,25,1003.6666666666666
Total Average Time,26,780.7557692307693
Current Action Time,26,985.0
Total Average Time,27,787.9746913580248
Current Action Time,27,975.6666666666666
Total Average Time,28,797.9220238095239
Current Action Time,28,1066.5
Total Average Time,29,822.666091954023
Current Action Time,29,1515.5
Total Average Time,30,826.9994444444445
Current Action Time,30,952.6666666666666
Total Average Time,31,864.0639784946238
Current Action Time,31,1976.0
Total Average Time,32,868.9057291666668
Current Action Time,32,1019.0
Total Average Time,33,872.9237373737375
Current Action Time,33,1001.5
Total Average Time,34,891.8377450980394
Current Action Time,34,1516.0
Total Average Time,35,894.3852380952382
Current Action Time,35,981.0
Total Average Time,36,911.1384259259261
Current Action Time,36,1497.5
Total Average Time,37,914.9184684684685
Current Action Time,37,1051.0
Total Average Time,38,921.1662280701756
Current Action Time,38,1152.3333333333333
Total Average Time,39,937.636324786325
Current Action Time,39,1563.5
Total Average Time,40,940.4704166666668
Current Action Time,40,1051.0
Total Average Time,41,953.4101626016262
Current Action Time,41,1471.0
Total Average Time,42,970.9361111111112
Current Action Time,42,1689.5
Total Average Time,43,1011.2399224806203
Current Action Time,43,2704.0
Total Average Time,44,1040.3708333333334
Current Action Time,44,2293.0
Total Average Time,45,1051.407037037037
Current Action Time,45,1537.0
Total Average Time,46,1061.6916666666668
Current Action Time,46,1524.5
Total Average Time,47,1078.0599290780144
Current Action Time,47,1831.0
Total Average Time,48,1084.4753472222224
Current Action Time,48,1386.0
Total Average Time,49,1098.6085034013606
Current Action Time,49,1777.0
Total Average Time,50,1112.2563333333335
Current Action Time,50,1781.0
Total Average Time,51,1141.5650326797386
Current Action Time,51,2607.0
Total Average Time,52,1154.958012820513
Current Action Time,52,1838.0
Total Average Time,53,1166.7795597484278
Current Action Time,53,1781.5
Total Average Time,54,1176.1169753086422
Current Action Time,54,1671.0
Total Average Time,55,1201.0057575757578
Current Action Time,55,2545.0
Total Average Time,56,1251.7913690476194
Current Action Time,56,4045.0
Total Average Time,57,1290.0757309941523
Current Action Time,57,3434.0
Total Average Time,58,1335.74683908046
Current Action Time,58,3939.0
Total Average Time,59,1375.835875706215
Current Action Time,59,3701.0
Total Average Time,60,1420.3886111111112
Current Action Time,60,4049.0
Total Average Time,61,1451.7428961748635
Current Action Time,61,3333.0
Total Average Time,62,1488.5373655913982
Current Action Time,62,3733.0
Total Average Time,63,1519.4812169312172
Current Action Time,63,3438.0
Total Average Time,64,1553.3174479166669
Current Action Time,64,3685.0
Total Average Time,65,1579.1741025641027
Current Action Time,65,3234.0
Total Average Time,66,1611.9744949494952
Current Action Time,66,3744.0
Total Average Time,67,1638.21368159204
Current Action Time,67,3370.0
Total Average Time,68,1673.82818627451
Current Action Time,68,4060.0
Total Average Time,69,1697.8886473429955
Current Action Time,69,3334.0
Total Average Time,70,1731.4616666666668
Current Action Time,70,4048.0
