Series,Iteration,Average Time (ms)
Total Average Time,1,851.3333333333334
Current Action Time,1,851.3333333333334
Total Average Time,2,585.3666666666667
Current Action Time,2,319.4
Total Average Time,3,531.6611111111112
Current Action Time,3,424.25
Total Average Time,4,531.4125
Current Action Time,4,530.6666666666666
Total Average Time,5,592.0633333333333
Current Action Time,5,834.6666666666666
Total Average Time,6,674.9694444444444
Current Action Time,6,1089.5
Total Average Time,7,654.3309523809523
Current Action Time,7,530.5
Total Average Time,8,638.6645833333333
Current Action Time,8,529.0
Total Average Time,9,591.812962962963
Current Action Time,9,217.0
Total Average Time,10,590.4816666666667
Current Action Time,10,578.5
Total Average Time,11,576.2787878787879
Current Action Time,11,434.25
Total Average Time,12,550.2722222222222
Current Action Time,12,264.2
Total Average Time,13,537.6935897435898
Current Action Time,13,386.75
Total Average Time,14,592.322619047619
Current Action Time,14,1302.5
Total Average Time,15,615.3677777777777
Current Action Time,15,938.0
Total Average Time,16,683.5947916666667
Current Action Time,16,1707.0
Total Average Time,17,725.7362745098039
Current Action Time,17,1400.0
Total Average Time,18,737.4916666666667
Current Action Time,18,937.3333333333334
Total Average Time,19,772.3868421052632
Current Action Time,19,1400.5
Total Average Time,20,816.5675
Current Action Time,20,1656.0
Total Average Time,21,837.0642857142857
Current Action Time,21,1247.0
Total Average Time,22,846.3340909090908
Current Action Time,22,1041.0
Total Average Time,23,872.2108695652173
Current Action Time,23,1441.5
Total Average Time,24,876.5354166666666
Current Action Time,24,976.0
Total Average Time,25,898.7139999999999
Current Action Time,25,1431.0
Total Average Time,26,953.5903846153846
Current Action Time,26,2325.5
Total Average Time,27,947.9018518518518
Current Action Time,27,800.0
Total Average Time,28,944.810119047619
Current Action Time,28,861.3333333333334
Total Average Time,29,955.0925287356321
Current Action Time,29,1243.0
Total Average Time,30,946.1116666666666
Current Action Time,30,685.6666666666666
Total Average Time,31,939.097311827957
Current Action Time,31,728.6666666666666
Total Average Time,32,945.2817708333333
Current Action Time,32,1137.0
Total Average Time,33,953.1621212121212
Current Action Time,33,1205.3333333333333
Total Average Time,34,950.4024509803921
Current Action Time,34,859.3333333333334
Total Average Time,35,965.9909523809524
Current Action Time,35,1496.0
Total Average Time,36,962.213425925926
Current Action Time,36,830.0
Total Average Time,37,964.1896396396397
Current Action Time,37,1035.3333333333333
Total Average Time,38,956.9565789473686
Current Action Time,38,689.3333333333334
Total Average Time,39,965.7141025641027
Current Action Time,39,1298.5
Total Average Time,40,973.8712500000001
Current Action Time,40,1292.0
Total Average Time,41,980.1914634146343
Current Action Time,41,1233.0
Total Average Time,42,977.9488095238097
Current Action Time,42,886.0
Total Average Time,43,975.322093023256
Current Action Time,43,865.0
Total Average Time,44,972.1329545454547
Current Action Time,44,835.0
Total Average Time,45,975.6707407407409
Current Action Time,45,1131.3333333333333
Total Average Time,46,977.7938405797104
Current Action Time,46,1073.3333333333333
Total Average Time,47,986.3939716312059
Current Action Time,47,1382.0
Total Average Time,48,995.1357638888891
Current Action Time,48,1406.0
Total Average Time,49,994.8064625850342
Current Action Time,49,979.0
Total Average Time,50,1140.5303333333336
Current Action Time,50,8281.0
Total Average Time,51,1154.735620915033
Current Action Time,51,1865.0
Total Average Time,52,1165.3753205128207
Current Action Time,52,1708.0
Total Average Time,53,1164.0191823899372
Current Action Time,53,1093.5
Total Average Time,54,1166.839814814815
Current Action Time,54,1316.3333333333333
Total Average Time,55,1175.6790909090912
Current Action Time,55,1653.0
Total Average Time,56,1184.5419642857144
Current Action Time,56,1672.0
Total Average Time,57,1202.0500000000002
Current Action Time,57,2182.5
Total Average Time,58,1209.4284482758621
Current Action Time,58,1630.0
Total Average Time,59,1225.9466101694916
Current Action Time,59,2184.0
Total Average Time,60,1250.4475
Current Action Time,60,2696.0
Total Average Time,61,1258.1942622950821
Current Action Time,61,1723.0
Total Average Time,62,1286.3524193548387
Current Action Time,62,3004.0
Total Average Time,63,1299.807142857143
Current Action Time,63,2134.0
Total Average Time,64,1308.82578125
Current Action Time,64,1877.0
Total Average Time,65,1327.0438461538463
Current Action Time,65,2493.0
Total Average Time,66,1341.6189393939394
Current Action Time,66,2289.0
Total Average Time,67,1340.9231343283584
Current Action Time,67,1295.0
Total Average Time,68,1337.2625
Current Action Time,68,1092.0
Total Average Time,69,1326.930193236715
Current Action Time,69,624.3333333333334
Total Average Time,70,1322.3169047619049
Current Action Time,70,1004.0
Total Average Time,71,1313.9931924882628
Current Action Time,71,731.3333333333334
Total Average Time,72,1311.5905092592593
Current Action Time,72,1141.0
Total Average Time,73,1312.05502283105
Current Action Time,73,1345.5
Total Average Time,74,1315.9664414414415
Current Action Time,74,1601.5
Total Average Time,75,1306.8068888888888
Current Action Time,75,629.0
