Series,Iteration,Average Time (ms)
Total Average Time,1,3996.0
Current Action Time,1,3996.0
Total Average Time,2,4099.0
Current Action Time,2,4202.0
Total Average Time,3,4018.0
Current Action Time,3,3856.0
Total Average Time,4,3875.75
Current Action Time,4,3449.0
Total Average Time,5,3843.6
Current Action Time,5,3715.0
Total Average Time,6,3837.1666666666665
Current Action Time,6,3805.0
Total Average Time,7,3857.8571428571427
Current Action Time,7,3982.0
Total Average Time,8,3868.875
Current Action Time,8,3946.0
Total Average Time,9,3885.1111111111113
Current Action Time,9,4015.0
Total Average Time,10,3937.7
Current Action Time,10,4411.0
Total Average Time,11,3947.4545454545455
Current Action Time,11,4045.0
Total Average Time,12,3973.25
Current Action Time,12,4257.0
Total Average Time,13,3961.3076923076924
Current Action Time,13,3818.0
Total Average Time,14,3951.8571428571427
Current Action Time,14,3829.0
Total Average Time,15,3961.8
Current Action Time,15,4101.0
Total Average Time,16,3949.3125
Current Action Time,16,3762.0
Total Average Time,17,3956.9411764705883
Current Action Time,17,4079.0
Total Average Time,18,3970.6111111111113
Current Action Time,18,4203.0
Total Average Time,19,3962.684210526316
Current Action Time,19,3820.0
Total Average Time,20,3961.2
Current Action Time,20,3933.0
Total Average Time,21,3951.9523809523807
Current Action Time,21,3767.0
Total Average Time,22,3941.681818181818
Current Action Time,22,3726.0
Total Average Time,23,3948.478260869565
Current Action Time,23,4098.0
Total Average Time,24,3945.1666666666665
Current Action Time,24,3869.0
Total Average Time,25,3946.28
Current Action Time,25,3973.0
Total Average Time,26,3944.076923076923
Current Action Time,26,3889.0
Total Average Time,27,3939.8518518518517
Current Action Time,27,3830.0
Total Average Time,28,3950.6428571428573
Current Action Time,28,4242.0
Total Average Time,29,3948.2413793103447
Current Action Time,29,3881.0
Total Average Time,30,3940.866666666667
Current Action Time,30,3727.0
Total Average Time,31,3943.451612903226
Current Action Time,31,4021.0
Total Average Time,32,3940.1875
Current Action Time,32,3839.0
Total Average Time,33,3948.787878787879
Current Action Time,33,4224.0
Total Average Time,34,3949.9411764705883
Current Action Time,34,3988.0
Total Average Time,35,3959.1428571428573
Current Action Time,35,4272.0
Total Average Time,36,3959.8888888888887
Current Action Time,36,3986.0
Total Average Time,37,3956.9189189189187
Current Action Time,37,3850.0
Total Average Time,38,3960.3684210526317
Current Action Time,38,4088.0
Total Average Time,39,3960.2820512820513
Current Action Time,39,3957.0
Total Average Time,40,3957.1
Current Action Time,40,3833.0
Total Average Time,41,3960.512195121951
Current Action Time,41,4097.0
Total Average Time,42,3961.1666666666665
Current Action Time,42,3988.0
Total Average Time,43,3961.4883720930234
Current Action Time,43,3975.0
Total Average Time,44,3957.1136363636365
Current Action Time,44,3769.0
Total Average Time,45,3960.2
Current Action Time,45,4096.0
Total Average Time,46,3960.0652173913045
Current Action Time,46,3954.0
Total Average Time,47,3943.7659574468084
Current Action Time,47,3194.0
Total Average Time,48,3943.9375
Current Action Time,48,3952.0
Total Average Time,49,3952.918367346939
Current Action Time,49,4384.0
Total Average Time,50,3951.34
Current Action Time,50,3874.0
Total Average Time,51,3951.8823529411766
Current Action Time,51,3979.0
Total Average Time,52,3954.076923076923
Current Action Time,52,4066.0
Total Average Time,53,3951.6415094339623
Current Action Time,53,3825.0
Total Average Time,54,3949.4814814814813
Current Action Time,54,3835.0
Total Average Time,55,3949.8
Current Action Time,55,3967.0
Total Average Time,56,3949.1785714285716
Current Action Time,56,3915.0
Total Average Time,57,3951.3859649122805
Current Action Time,57,4075.0
Total Average Time,58,3951.3793103448274
Current Action Time,58,3951.0
Total Average Time,59,3954.101694915254
Current Action Time,59,4112.0
Total Average Time,60,3955.866666666667
Current Action Time,60,4060.0
Total Average Time,61,3947.6393442622953
Current Action Time,61,3454.0
Total Average Time,62,3945.435483870968
Current Action Time,62,3811.0
Total Average Time,63,3947.6190476190477
Current Action Time,63,4083.0
Total Average Time,64,3930.09375
Current Action Time,64,2826.0
Total Average Time,65,3928.2923076923075
Current Action Time,65,3813.0
Total Average Time,66,3931.969696969697
Current Action Time,66,4171.0
Total Average Time,67,3933.3283582089553
Current Action Time,67,4023.0
Total Average Time,68,3935.4117647058824
Current Action Time,68,4075.0
Total Average Time,69,3931.449275362319
Current Action Time,69,3662.0
Total Average Time,70,3934.057142857143
Current Action Time,70,4114.0
Total Average Time,71,3935.3802816901407
Current Action Time,71,4028.0
Total Average Time,72,3938.5138888888887
Current Action Time,72,4161.0
Total Average Time,73,3939.4109589041095
Current Action Time,73,4004.0
Total Average Time,74,3938.0675675675675
Current Action Time,74,3840.0
Total Average Time,75,3931.9866666666667
Current Action Time,75,3482.0
Total Average Time,76,3933.9210526315787
Current Action Time,76,4079.0
Total Average Time,77,3932.5844155844156
Current Action Time,77,3831.0
Total Average Time,78,3929.846153846154
Current Action Time,78,3719.0
Total Average Time,79,3931.7088607594937
Current Action Time,79,4077.0
Total Average Time,80,3928.1625
Current Action Time,80,3648.0
Total Average Time,81,3923.753086419753
Current Action Time,81,3571.0
Total Average Time,82,3922.3414634146343
Current Action Time,82,3808.0
Total Average Time,83,3926.265060240964
Current Action Time,83,4248.0
Total Average Time,84,3924.904761904762
Current Action Time,84,3812.0
Total Average Time,85,3929.4470588235295
Current Action Time,85,4311.0
Total Average Time,86,3927.0348837209303
Current Action Time,86,3722.0
Total Average Time,87,3928.6666666666665
Current Action Time,87,4069.0
Total Average Time,88,3927.284090909091
Current Action Time,88,3807.0
Total Average Time,89,3927.955056179775
Current Action Time,89,3987.0
Total Average Time,90,3928.722222222222
Current Action Time,90,3997.0
Total Average Time,91,3930.8571428571427
Current Action Time,91,4123.0
Total Average Time,92,3928.2608695652175
Current Action Time,92,3692.0
Total Average Time,93,3929.7741935483873
Current Action Time,93,4069.0
Total Average Time,94,3928.1170212765956
Current Action Time,94,3774.0
Total Average Time,95,3915.642105263158
Current Action Time,95,2743.0
Total Average Time,96,3915.25
Current Action Time,96,3878.0
Total Average Time,97,3915.8453608247423
Current Action Time,97,3973.0
Total Average Time,98,3917.295918367347
Current Action Time,98,4058.0
Total Average Time,99,3906.8282828282827
Current Action Time,99,2881.0
Total Average Time,100,3905.96
Current Action Time,100,3820.0
