Series,Iteration,Average Time (ms)
Total Average Time,1,78.5
Current Action Time,1,78.5
Total Average Time,2,67.0
Current Action Time,2,55.5
Total Average Time,3,62.666666666666664
Current Action Time,3,54.0
Total Average Time,4,61.375
Current Action Time,4,57.5
Total Average Time,5,92.9
Current Action Time,5,219.0
Total Average Time,6,97.25
Current Action Time,6,119.0
Total Average Time,7,85.92857142857143
Current Action Time,7,18.0
Total Average Time,8,83.625
Current Action Time,8,67.5
Total Average Time,9,80.55555555555556
Current Action Time,9,56.0
Total Average Time,10,78.35
Current Action Time,10,58.5
Total Average Time,11,90.95454545454545
Current Action Time,11,217.0
Total Average Time,12,84.875
Current Action Time,12,18.0
Total Average Time,13,83.5
Current Action Time,13,67.0
Total Average Time,14,81.28571428571429
Current Action Time,14,52.5
Total Average Time,15,79.63333333333334
Current Action Time,15,56.5
Total Average Time,16,100.40625
Current Action Time,16,412.0
Total Average Time,17,101.61764705882354
Current Action Time,17,121.0
Total Average Time,18,96.58333333333333
Current Action Time,18,11.0
Total Average Time,19,94.84210526315789
Current Action Time,19,63.5
Total Average Time,20,92.725
Current Action Time,20,52.5
Total Average Time,21,91.16666666666667
Current Action Time,21,60.0
Total Average Time,22,92.38636363636364
Current Action Time,22,118.0
Total Average Time,23,93.5
Current Action Time,23,118.0
Total Average Time,24,90.0625
Current Action Time,24,11.0
Total Average Time,25,89.38
Current Action Time,25,73.0
Total Average Time,26,88.0
Current Action Time,26,53.5
Total Average Time,27,87.05555555555556
Current Action Time,27,62.5
Total Average Time,28,91.76785714285714
Current Action Time,28,219.0
Total Average Time,29,92.77586206896552
Current Action Time,29,121.0
Total Average Time,30,90.05
Current Action Time,30,11.0
Total Average Time,31,89.45161290322581
Current Action Time,31,71.5
Total Average Time,32,88.3125
Current Action Time,32,53.0
Total Average Time,33,87.46969696969697
Current Action Time,33,60.5
Total Average Time,34,86.45588235294117
Current Action Time,34,53.0
Total Average Time,35,85.71428571428571
Current Action Time,35,60.5
Total Average Time,36,84.91666666666667
Current Action Time,36,57.0
Total Average Time,37,84.12162162162163
Current Action Time,37,55.5
Total Average Time,38,87.64473684210526
Current Action Time,38,218.0
Total Average Time,39,87.11538461538461
Current Action Time,39,67.0
Total Average Time,40,86.6375
Current Action Time,40,68.0
Total Average Time,41,84.79268292682927
Current Action Time,41,11.0
Total Average Time,42,84.38095238095238
Current Action Time,42,67.5
Total Average Time,43,83.46511627906976
Current Action Time,43,45.0
Total Average Time,44,82.9090909090909
Current Action Time,44,59.0
Total Average Time,45,83.53333333333333
Current Action Time,45,111.0
Total Average Time,46,84.30434782608695
Current Action Time,46,119.0
Total Average Time,47,83.88297872340425
Current Action Time,47,64.5
Total Average Time,48,82.51041666666667
Current Action Time,48,18.0
Total Average Time,49,82.05102040816327
Current Action Time,49,60.0
Total Average Time,50,81.74
Current Action Time,50,66.5
Total Average Time,51,81.2843137254902
Current Action Time,51,58.5
Total Average Time,52,80.88461538461539
Current Action Time,52,60.5
Total Average Time,53,97.0377358490566
Current Action Time,53,937.0
Total Average Time,54,95.44444444444444
Current Action Time,54,11.0
Total Average Time,55,94.88181818181818
Current Action Time,55,64.5
Total Average Time,56,94.15178571428571
Current Action Time,56,54.0
Total Average Time,57,93.58771929824562
Current Action Time,57,62.0
Total Average Time,58,95.73275862068965
Current Action Time,58,218.0
Total Average Time,59,95.3135593220339
Current Action Time,59,71.0
Total Average Time,60,94.84166666666667
Current Action Time,60,67.0
Total Average Time,61,93.5
Current Action Time,61,13.0
Total Average Time,62,93.23387096774194
Current Action Time,62,77.0
Total Average Time,63,92.51587301587301
Current Action Time,63,48.0
Total Average Time,64,91.96875
Current Action Time,64,57.5
Total Average Time,65,91.3076923076923
Current Action Time,65,49.0
Total Average Time,66,90.81818181818181
Current Action Time,66,59.0
Total Average Time,67,92.73134328358209
Current Action Time,67,219.0
Total Average Time,68,93.23529411764706
Current Action Time,68,127.0
Total Average Time,69,92.8913043478261
Current Action Time,69,69.5
Total Average Time,70,93.26428571428572
Current Action Time,70,119.0
Total Average Time,71,93.52816901408451
Current Action Time,71,112.0
Total Average Time,72,93.8125
Current Action Time,72,114.0
Total Average Time,73,94.13698630136986
Current Action Time,73,117.5
Total Average Time,74,94.36486486486487
